IDENTIFIKA»NÕ »ÕSLO,DRUH POZEMNÕ KOMUNIKACE,»ÕSLO POZEMNÕ KOMUNIKACE,"den, mÏsÌc, rok",,Ëas ,DRUH NEHODY,DRUH SR¡éKY JEDOUCÕCH VOZIDEL,DRUH PEVN… PÿEK¡éKY,CHARAKTER NEHODY,ZAVINÃNÕ NEHODY,ALKOHOL U VINÕKA NEHODY PÿÕTOMEN,HLAVNÕ PÿÕ»INY NEHODY,usmrceno osob,tÏûce zranÏno osob,lehce zranÏno osob,CELKOV¡ HMOTN¡ äKODA,DRUH POVRCHU VOZOVKY,STAV POVRCHU VOZOVKY V DOBÃ NEHODY,STAV KOMUNIKACE,POVÃTRNOSTNÕ PODMÕNKY V DOBÃ NEHODY,VIDITELNOST,ROZHLEDOV… POMÃRY,DÃLENÕ KOMUNIKACE,SITUOV¡NÕ NEHODY NA KOMUNIKACI,ÿÕZENÕ PROVOZU V DOBÃ NEHODY,MÕSTNÕ ⁄PRAVA PÿEDNOSTI V JÕZDÃ,SPECIFICK¡ MÕSTA A OBJEKTY V MÕSTÃ NEHODY,SMÃROV… POMÃRY,PO»ET Z⁄»ASTNÃN›CH VOZIDEL,MÕSTO DOPRAVNÕ NEHODY,DRUH KÿIéUJÕCÕ KOMUNIKACE,DRUH VOZIDLA,V›ROBNÕ ZNA»KA MOTOROV…HO VOZIDLA,ROK V›ROBY VOZIDLA,CHARAKTERISTIKA VOZIDLA ,SMYK,VOZIDLO PO NEHODÃ,"⁄NIK PROVOZNÕCH, PÿEPRAVOVAN›CH HMOT",ZPŸSOB VYPROäTÃNÕ OSOB Z VOZIDLA,SMÃR JÕZDY NEBO POSTAVENÕ VOZIDLA,äKODA NA VOZIDLE,KATEGORIE ÿIDI»E,STAV ÿIDI»E,VNÃJäÕ OVLIVNÃNÕ ÿIDI»E,nan.1,nan.2,nan.3,nan.4,nan.5,nan.6,nan.7,nan.8,nan.9,nan.10,nan.11,nan.12,nan.13,nan.14,nan.15,nan.16,nan.17,nan.18,LOKALITA NEHODY
2100190035,6,,2019-01-02,3,535,2,0,0,2,1,2,502,0,0,0,250,2,1,1,1,4,1,1,1,0,0,0,1,2,0,,8,35.0,99,5.0,0.0,1.0,0.0,1.0,5.0,50,4.0,1.0,1.0,,,"-740330,595","-1045018,793","-740330,678","-1045022,056",Praha10,Rusk·,,mÌstnÌkomunikace,,283387.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,468126.0,GN_V0.1UIR-ADR_410,1
2100190036,6,,2019-01-02,3,610,2,0,0,2,1,2,502,0,0,0,1600,2,3,1,1,4,1,1,1,0,0,0,1,2,0,,8,35.0,00,5.0,0.0,1.0,0.0,1.0,5.0,800,4.0,1.0,1.0,,,"-736958,042","-1044495,799","-736954,239","-1044495,481",PRAHA5,MusÌlkova,,mÌstnÌkomunikace,,2778913.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,472557.0,GN_V0.1UIR-ADR_410,1
2100190037,7,,2019-01-01,2,2560,1,2,0,2,1,0,502,0,0,0,50,2,1,1,1,1,1,1,1,0,0,9,1,2,0,,17,,XX,,,,,,,0,,,,,,"-730760,134","-1042931,010","-730759,903","-1042931,667",PRAHA9»ern˝Most,CHLUMECK¡,,sledovan·komunikace,,,,,,,,,1
2100190038,6,,2019-01-02,3,735,1,4,0,2,1,2,503,0,0,0,900,2,1,1,1,2,1,1,1,0,0,0,1,2,0,,3,47.0,17,1.0,0.0,1.0,0.0,1.0,5.0,600,3.0,1.0,1.0,,,"-744873,123","-1044225,929","-744872,978","-1044226,283",PRAHA5,HoleËkova,,mÌstnÌkomunikace,,2775182.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,447986.0,GN_V0.1UIR-ADR_410,1
2100190039,5,,2019-01-02,3,725,1,2,0,2,1,2,411,0,0,0,150,2,3,1,1,2,1,2,1,0,5,0,1,2,0,,5,12.0,18,3.0,0.0,1.0,0.0,1.0,1.0,100,2.0,1.0,1.0,,,"-745281,603","-1051376,538","-745280,859","-1051376,521",PRAHA4,MODÿANSK¡,,sledovan·komunikace,,,,,,,,,1
2100190040,8,,2019-01-02,3,830,1,2,0,2,1,0,410,0,0,0,20,2,3,1,1,1,1,1,1,0,5,10,1,2,0,,17,,XX,,,,,,,0,,,,,,"-742443,094","-1042796,612","-742443,747","-1042796,686",PRAHA2,BudeËsk·,,mÌstnÌkomunikace,,273119.0,,OpaËn˝kesmÏru˙seku,Pomal˝,554782.0,468231.0,GN_V0.1UIR-ADR_410,1
2100190041,8,,2019-01-01,2,1715,3,0,9,2,1,0,516,0,0,0,100,2,1,1,1,4,1,1,1,0,0,0,1,1,0,,3,39.0,02,1.0,0.0,4.0,0.0,1.0,5.0,0,9.0,,,,,"-750538,216","-1041315,551","-750537,833","-1041313,633",PRAHA6Liboc,EVROPSK¡,,sledovan·komunikace,,,,,,,,,1
2100190042,6,,2019-01-02,3,1025,3,0,2,2,1,2,508,0,0,0,150,2,1,1,1,1,1,1,1,0,0,0,1,1,0,,3,39.0,16,3.0,0.0,1.0,0.0,1.0,5.0,150,4.0,1.0,1.0,,,"-741176,954","-1045579,446","-741178,130","-1045579,286",PRAHA10,UVRäOVICK…HON¡DRAéÕ,,mÌstnÌkomunikace,,,,,,,,,1
2100190043,5,,2019-01-02,3,945,1,4,0,2,1,2,503,0,0,0,1200,2,3,1,4,3,1,2,1,0,5,2,1,2,0,,5,32.0,17,3.0,0.0,1.0,0.0,1.0,5.0,500,2.0,1.0,1.0,,,"-737634,724","-1041505,929","-737633,954","-1041507,896",PRAHA9LibeÚ,SOKOLOVSK¡,,sledovan·komunikace,,,,,,,,,1
2100190044,6,,2019-01-02,3,1055,1,4,0,2,1,2,504,0,0,0,100,2,3,1,1,1,1,1,1,0,5,2,1,2,0,,5,13.0,08,3.0,0.0,0.0,0.0,1.0,5.0,50,2.0,1.0,1.0,,,"-742338,235","-1046661,791","-742339,467","-1046659,541",PRAHA4-NUSLE,DÏkansk·viniceI,,mÌstnÌkomunikace,,289907.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,445401.0,GN_V0.1UIR-ADR_410,1
